% Model,trial.mph
% Version,COMSOL 5.4.0.225
% Date,"May 18 2019, 05:16"
% Table,Probe Table 1 - 
% Time (s),"Temperature (degC), Point: (0, 0, 0)","Temperature (degC), Point: (0.025, 0, 0)"
0,5.000000002099171,5.494308645041599
0.016601011054375864,5.000000012786131,9.27627852567656
0.03320202210875173,5.000000018476214,12.760344462198248
0.06640404421750346,5.000000021980554,19.12507187272712
0.1328080884350069,5.000000010457995,29.484544495645423
0.2656161768700138,4.9999999844977765,44.21424951971693
0.39842426530502073,4.999999977738355,53.61425697207221
0.5312323537400276,4.999999988747845,60.032487530467165
0.6640404421750346,5.000000002943125,64.7047688973214
0.9296566190450484,5.000000013059093,71.34188809997823
1.1952727959150622,5.000000006158871,74.62307520021
1.7265051496550898,5.000000000135344,78.63488217810357
2.2577375033951173,4.999999999153715,81.2882007182564
3.3202022108751725,4.999999999689635,84.33977570341835
4.382666918355228,4.999999999996248,86.29049829584824
6.507596333315338,5.000000000042462,88.51192671623716
8.632525748275448,5.000000000042633,89.93905222949314
12.88238457819567,5.000000003081425,91.58282315968387
17.13224340811589,5.0000000273543606,92.64486322950637
21.38210223803611,5.000000147372987,93.39349347284883
29.881819897876554,5.0000129861916776,94.3280233722312
38.381537557716996,5.000092936568308,94.96333869007924
46.88125521755744,5.0003962387692695,95.42599079325055
63.88069053723832,5.002953903279888,96.11938272783692
80.88012585691921,5.012581415626016,96.56245220529212
114.87899649628098,5.1313163680881075,97.13165457578879
148.87786713564276,5.512406179565346,97.45465881014235
182.87673777500453,6.3478316435735564,97.66947820500246
216.8756084143663,7.800594366571204,97.83100649951598
284.87334969308984,12.660526845299273,98.07766385244042
352.8710909718134,19.588842105795152,98.24770325095506
452.8710909718134,31.346997852838513,98.42605144039499
552.8710909718134,43.20586652228809,98.54984936392776
652.8710909718134,53.84332719850636,98.64166608168102
752.8710909718134,62.775314967312625,98.71293167285916
852.8710909718134,70.02882697368392,98.76955868076521
952.8710909718134,75.83745006651725,98.81499110874182
1052.8710909718134,80.47074573187359,98.85154091936045
