% Model,trial.mph
% Version,COMSOL 5.4.0.225
% Date,"May 18 2019, 05:33"
% Table,Probe Table 1 - 
% Time (s),"Temperature (degC), Point: (0, 0, 0)","Temperature (degC), Point: (0.025, 0, 0)"
0,5.00000000402332,5.980838013318419
0.01684761934562356,5.000000014025716,9.774625383630223
0.03369523869124712,5.00000001911809,13.267083829953435
0.06739047738249423,5.000000021652397,19.642625370725
0.13478095476498847,5.000000009196754,30.005046823026532
0.26956190952997694,4.999999983517,44.71067770741388
0.4043428642949654,4.999999978008248,54.070171900836726
0.5391238190599539,4.999999989729815,60.445636241707575
0.6739047738249424,5.000000003814478,65.07649004496653
0.9434666833549193,5.00000001308166,71.6401235761108
1.2130285928848963,5.0000000058238925,74.87013989216399
1.7521524119448502,4.9999999999812985,78.82273812952525
2.291276231004804,4.999999999143597,81.44076722966423
3.369523869124712,4.9999999997108375,84.45771296504438
4.447771507244619,5.000000000004206,86.38920298945993
6.604266783484435,5.000000000042348,88.59183287018084
8.76076205972425,5.000000000045759,90.00814164233213
13.073752612203881,5.000000003630078,91.64038429166271
17.386743164683512,5.000000032397622,92.69517688438657
21.69973371716314,5.000000174804484,93.4387000677537
30.325714822122404,5.000015100639075,94.36677997834539
38.951695927081666,5.000107264252392,94.99767038153396
47.577677032040924,5.000454281208192,95.4570846565079
64.82963924195946,5.003343404062321,96.14561283686993
82.08160145187799,5.014109026765652,96.58556398953692
116.58552587171503,5.143691611514328,97.15074257661905
151.08945029155208,5.554240388471669,97.47144207911145
185.59337471138912,6.4448128668527715,97.68471587614539
220.09729913122618,7.979248486491372,97.84507699750469
289.10514797090025,13.041922714051111,98.089948732528
358.1129968105744,20.17800955617031,98.25874962806859
496.12869448992257,36.15453715138608,98.49288008222817
634.1443921692708,51.52900994332305,98.63643359388908
772.160089848619,64.15954598757077,98.73304426692727
910.1757875279673,73.69570921769008,98.80271919087602
1110.1757875279673,83.27380777598768,98.8748713726489
1310.1757875279673,89.26541021647989,98.92163030745553
1510.1757875279673,92.97709735921359,98.95133886304018
1710.1757875279673,95.27553869952573,98.96993963365935
1910.1757875279673,96.69970961165893,98.98147629826911
2110.1757875279673,97.58144460776998,98.9885963227303
